typ;label;conc;test
ANF;animal feed;48.2015381;0
CLZ;rapeseed(ung);22.3959427;0
FRG;wheat (ung);14.1000004;0
ANF;animal feed;51.0935593;0
TTS;soya meal;54.4520569;0
SFG;sun flower seed(gr);17.4115467;0
TTS;soya meal;52.6018105;0
SFG;sun flower seed(gr);17.5032673;0
TTS;soya meal;51.7795639;0
SFG;sun flower seed(gr);18.1186676;0
TTS;soya meal;51.0783195;0
MPW;milk powder & whey;35.9734535;0
FFS;full fat soya;40.6381111;0
PEE;maize wp;6.6199999;0
FRG;wheat (ung);12.46;0
MPW;milk powder & whey;5.1135402;0
EHH;grass silage;16.8299999;0
FRG;wheat (ung);12.5;0
TTS;soya meal;51.3574638;0
ANF;animal feed;46.0873756;0
FFS;full fat soya;39.6865005;0
EHH;grass silage;26.2900009;0
CLZ;rapeseed(ung);23.8246002;0
FFS;full fat soya;40.3308067;0
MPW;milk powder & whey;24.4033279;0
EHH;grass silage;18.0100002;0
TTS;soya meal;50.2227173;0
TTS;soya meal;52.7459946;0
FFS;full fat soya;43.0665245;0
ANF;animal feed;54.6459846;0
PEE;maize wp;7.6300001;0
CLZ;rapeseed(ung);16.9899998;0
FRG;wheat (ung);10.8599997;0
FFS;full fat soya;39.4650993;0
CLZ;rapeseed(ung);17.5599995;0
CNG;corn gluten;63.2387505;0
TTS;soya meal;54.420208;0
CLZ;rapeseed(ung);24.4799995;0
EHH;grass silage;10.0200005;0
EHH;grass silage;6.04;0
FRG;wheat (ung);13.21;0
ANF;animal feed;57.7176476;0
FRG;wheat (ung);13.0999994;0
CNG;corn gluten;67.2663879;0
FFS;full fat soya;39.5931511;0
EHH;grass silage;26.0400009;0
TTS;soya meal;53.2293968;0
CLZ;rapeseed(ung);21.8999996;0
ANF;animal feed;53.0239563;0
FFS;full fat soya;39.0554199;0
CNG;corn gluten;68.3551559;0
FFS;full fat soya;39.4129219;0
CLZ;rapeseed(ung);23.7000008;0
CNG;corn gluten;70.3251038;0
ANF;animal feed;58.4318924;0
MPW;milk powder & whey;13.0371504;0
SFG;sun flower seed(gr);13.2830973;0
FRG;wheat (ung);12.3000002;0
EHH;grass silage;8.6000004;0
CLZ;rapeseed(ung);18.5499992;0
ANF;animal feed;53.7811737;0
ANF;animal feed;55.5043106;0
CNG;corn gluten;67.3839569;0
TTS;soya meal;51.2643661;0
FRG;wheat (ung);13.29;0
SFG;sun flower seed(gr);21.5509758;0
FRG;wheat (ung);10.5273066;0
FRG;wheat (ung);12.4200001;0
PEE;maize wp;7.8400002;0
ANF;animal feed;51.1266098;0
EHH;grass silage;20.0;0
FFS;full fat soya;38.706131;0
PEE;maize wp;7.9299998;0
SFG;sun flower seed(gr);12.710104;0
FFS;full fat soya;40.930172;0
ANF;animal feed;50.8789101;0
ANF;animal feed;55.583519;0
SFG;sun flower seed(gr);22.7646084;0
TTS;soya meal;53.0285721;0
FRG;wheat (ung);10.2700005;0
CNG;corn gluten;68.6627731;0
FRG;wheat (ung);12.1999998;0
FFS;full fat soya;41.6071129;0
PEE;maize wp;9.7599993;0
SFG;sun flower seed(gr);15.3301964;0
FFS;full fat soya;39.6109734;0
PEE;maize wp;5.8899999;0
MPW;milk powder & whey;38.9439964;0
TTS;soya meal;49.8277855;0
ANF;animal feed;58.3192787;0
CNG;corn gluten;67.6064224;0
CLZ;rapeseed(ung);18.9699993;0
MPW;milk powder & whey;38.4354553;0
PEE;maize wp;8.46;0
TTS;soya meal;52.2883301;0
PEE;maize wp;7.54;0
FFS;full fat soya;40.0091248;0
FRG;wheat (ung);10.8999996;0
CNG;corn gluten;65.2585526;0
CLZ;rapeseed(ung);22.4200001;0
ANF;animal feed;50.7575073;0
CNG;corn gluten;64.7921906;0
FFS;full fat soya;41.0709648;0
SFG;sun flower seed(gr);15.0009298;0
CNG;corn gluten;65.9883728;0
ANF;animal feed;51.2146721;0
CLZ;rapeseed(ung);18.3400002;0
FFS;full fat soya;40.8974037;0
TTS;soya meal;55.2305946;0
FFS;full fat soya;46.7363396;0
SFG;sun flower seed(gr);17.1064129;0
PEE;maize wp;7.21;0
CLZ;rapeseed(ung);24.6999989;0
TTS;soya meal;50.0564957;0
PEE;maize wp;7.8699999;0
MPW;milk powder & whey;35.4333763;0
TTS;soya meal;50.0567551;0
CLZ;rapeseed(ung);25.7000008;0
CNG;corn gluten;66.1921844;0
PEE;maize wp;7.7799997;0
TTS;soya meal;52.1191292;0
TTS;soya meal;51.25;0
TTS;soya meal;58.0645142;0
ANF;animal feed;58.3325615;0
CNG;corn gluten;71.3346176;0
PEE;maize wp;7.0799999;0
TTS;soya meal;53.1772575;0
FRG;wheat (ung);12.4200001;0
EHH;grass silage;9.7299995;0
FRG;wheat (ung);9.8000002;0
ANF;animal feed;53.6009064;0
PEE;maize wp;10.8199997;0
SFG;sun flower seed(gr);14.8450508;0
ANF;animal feed;53.5962219;0
SFG;sun flower seed(gr);16.8126888;0
TTS;soya meal;55.0808334;0
MPW;milk powder & whey;13.5498028;0
EHH;grass silage;17.2600002;0
CLZ;rapeseed(ung);23.5599995;0
TTS;soya meal;54.2857132;0
CNG;corn gluten;65.9781189;0
TTS;soya meal;51.363636;0
FRG;wheat (ung);11.1000004;0
CNG;corn gluten;66.8635559;0
FRG;wheat (ung);9.1199999;0
SFG;sun flower seed(gr);21.9263325;0
FFS;full fat soya;41.0134659;0
ANF;animal feed;53.1896172;0
FFS;full fat soya;42.1492462;0
SFG;sun flower seed(gr);15.5116491;0
TTS;soya meal;53.9792404;0
MPW;milk powder & whey;37.8452721;0
EHH;grass silage;9.2299995;0
FFS;full fat soya;39.5834579;0
TTS;soya meal;51.2471657;0
FFS;full fat soya;42.1612434;0
SFG;sun flower seed(gr);12.6475334;0
FFS;full fat soya;47.4723473;0
MPW;milk powder & whey;24.390173;0
MPW;milk powder & whey;11.6459494;0
FFS;full fat soya;38.5196381;0
FRG;wheat (ung);13.6000004;0
TTS;soya meal;52.8344688;0
CLZ;rapeseed(ung);19.4899998;0
ANF;animal feed;56.5279655;0
TTS;soya meal;50.3694229;0
TTS;soya meal;55.0691223;0
EHH;grass silage;20.6000004;0
MPW;milk powder & whey;25.7194309;0
FRG;wheat (ung);13.1700001;0
PEE;maize wp;7.54;0
FFS;full fat soya;39.7798767;0
SFG;sun flower seed(gr);13.3479643;0
PEE;maize wp;7.9899998;0
CNG;corn gluten;66.9738693;0
CLZ;rapeseed(ung);19.8500004;0
CLZ;rapeseed(ung);23.2699986;0
FFS;full fat soya;39.1945992;0
EHH;grass silage;12.3199997;0
MPW;milk powder & whey;11.4435644;0
SFG;sun flower seed(gr);18.2280693;0
FFS;full fat soya;41.1465683;0
TTS;soya meal;52.7777786;0
FRG;wheat (ung);13.5699997;0
TTS;soya meal;50.9153328;0
TTS;soya meal;53.7058182;0
TTS;soya meal;54.7646408;0
ANF;animal feed;54.3040848;0
FFS;full fat soya;38.5723648;0
MPW;milk powder & whey;22.1581936;0
EHH;grass silage;26.6499996;0
MPW;milk powder & whey;5.284667;0
EHH;grass silage;18.9899998;0
PEE;maize wp;8.5699997;0
PEE;maize wp;8.3999996;0
FRG;wheat (ung);13.4799995;0
FFS;full fat soya;40.410183;0
FFS;full fat soya;39.6162071;0
TTS;soya meal;53.4273987;0
TTS;soya meal;54.9714279;0
CNG;corn gluten;65.2548981;0
MPW;milk powder & whey;33.6453438;0
ANF;animal feed;53.3444824;0
EHH;grass silage;11.0299997;0
CNG;corn gluten;66.2512131;0
PEE;maize wp;6.29;0
CNG;corn gluten;64.8080292;0
SFG;sun flower seed(gr);25.078331;0
PEE;maize wp;7.9784575;0
MPW;milk powder & whey;35.8267593;0
ANF;animal feed;54.9650955;0
CNG;corn gluten;66.3938522;0
FFS;full fat soya;38.0761223;0
FFS;full fat soya;45.116291;0
PEE;maize wp;6.5999999;0
CLZ;rapeseed(ung);22.6000004;0
EHH;grass silage;14.1199999;0
SFG;sun flower seed(gr);11.955698;0
SFG;sun flower seed(gr);15.2298136;0
EHH;grass silage;9.5699997;0
CLZ;rapeseed(ung);20.3799992;0
ANF;animal feed;50.9077682;0
CLZ;rapeseed(ung);25.2800007;0
EHH;grass silage;22.0200005;0
FFS;full fat soya;39.4619675;0
ANF;animal feed;52.5565376;0
MPW;milk powder & whey;24.1989555;0
TTS;soya meal;53.8461533;0
FFS;full fat soya;39.9845467;0
SFG;sun flower seed(gr);18.0430355;0
PEE;maize wp;9.7799997;0
SFG;sun flower seed(gr);21.2648354;0
CLZ;rapeseed(ung);20.4899998;0
PEE;maize wp;9.1299992;0
FRG;wheat (ung);12.1999998;0
EHH;grass silage;11.4799995;0
CLZ;rapeseed(ung);21.2700005;0
ANF;animal feed;49.8403702;0
FRG;wheat (ung);11.0;0
FFS;full fat soya;39.5562439;0
TTS;soya meal;52.0501137;0
TTS;soya meal;53.0635834;0
TTS;soya meal;52.6980476;0
PEE;maize wp;5.6599998;0
EHH;grass silage;17.0599995;0
FFS;full fat soya;41.5787773;0
MPW;milk powder & whey;34.707943;0
TTS;soya meal;52.4239044;0
PEE;maize wp;8.3400002;0
FFS;full fat soya;38.8083229;0
SFG;sun flower seed(gr);15.4951506;0
FFS;full fat soya;39.7682838;0
EHH;grass silage;25.9234142;0
PEE;maize wp;7.4699998;0
PEE;maize wp;6.7679572;0
PEE;maize wp;6.1300001;0
TTS;soya meal;54.9019623;0
FFS;full fat soya;40.0326424;0
FFS;full fat soya;37.994278;0
FRG;wheat (ung);13.0900002;0
PEE;maize wp;7.2199998;0
CLZ;rapeseed(ung);21.1499996;0
EHH;grass silage;23.4399986;0
EHH;grass silage;12.6700001;0
SFG;sun flower seed(gr);15.2629175;0
FFS;full fat soya;38.5660934;0
ANF;animal feed;53.1605988;0
FFS;full fat soya;41.9081192;0
TTS;soya meal;50.3972778;0
PEE;maize wp;8.8999996;0
CNG;corn gluten;69.6705322;0
CLZ;rapeseed(ung);21.8899994;0
MPW;milk powder & whey;38.2021408;0
TTS;soya meal;53.714286799999996;0
EHH;grass silage;17.8700008;0
TTS;soya meal;49.0417137;0
TTS;soya meal;53.8461571;0
CNG;corn gluten;64.3942108;0
FFS;full fat soya;45.4177818;0
SFG;sun flower seed(gr);13.1135368;0
PEE;maize wp;7.8499999;0
MPW;milk powder & whey;10.874608;0
FFS;full fat soya;38.3018723;0
FFS;full fat soya;39.9253426;0
EHH;grass silage;11.8000002;0
PEE;maize wp;12.4399996;0
CNG;corn gluten;65.1480255;0
FFS;full fat soya;39.5781708;0
TTS;soya meal;54.4937401;0
FRG;wheat (ung);13.6700001;0
FFS;full fat soya;36.0349541;0
CNG;corn gluten;69.4595642;0
TTS;soya meal;52.0270271;0
TTS;soya meal;53.1214523;0
FRG;wheat (ung);15.0299997;0
ANF;animal feed;49.6517487;0
MPW;milk powder & whey;12.4462357;0
CNG;corn gluten;67.9371262;0
FRG;wheat (ung);11.6099997;0
CNG;corn gluten;70.672348;0
EHH;grass silage;15.6800003;0
ANF;animal feed;50.2536926;0
FRG;wheat (ung);12.46;0
PEE;maize wp;6.3850584;0
FFS;full fat soya;39.6255379;0
FRG;wheat (ung);11.5;0
TTS;soya meal;47.3081322;0
FFS;full fat soya;39.8770065;0
FRG;wheat (ung);12.7299995;0
PEE;maize wp;8.4499998;0
PEE;maize wp;8.0166092;0
MPW;milk powder & whey;38.7644119;0
FFS;full fat soya;40.8659401;0
CLZ;rapeseed(ung);20.6599998;0
TTS;soya meal;56.0810776;0
PEE;maize wp;7.9400001;0
CNG;corn gluten;70.6387177;0
FFS;full fat soya;37.2498093;0
ANF;animal feed;56.1520157;0
EHH;grass silage;19.0599995;0
FFS;full fat soya;40.2665215;0
FFS;full fat soya;40.4688568;0
CNG;corn gluten;67.4048462;0
FFS;full fat soya;38.0808487;0
MPW;milk powder & whey;23.8798561;0
TTS;soya meal;51.7714272;0
MPW;milk powder & whey;37.3862267;0
CNG;corn gluten;69.1518631;0
FFS;full fat soya;40.9874954;0
PEE;maize wp;7.8800001;0
ANF;animal feed;46.9112587;0
FRG;wheat (ung);11.1000004;0
FFS;full fat soya;45.0825424;0
EHH;grass silage;12.2799997;0
MPW;milk powder & whey;10.8723269;0
TTS;soya meal;53.1772575;0
EHH;grass silage;12.6400003;0
MPW;milk powder & whey;11.9355478;0
SFG;sun flower seed(gr);12.850316;0
CLZ;rapeseed(ung);23.4400005;0
TTS;soya meal;54.465271;0
MPW;milk powder & whey;26.3187656;0
SFG;sun flower seed(gr);13.4610081;0
FFS;full fat soya;40.8167381;0
FRG;wheat (ung);11.8000002;0
CNG;corn gluten;72.5933533;0
PEE;maize wp;6.5;0
TTS;soya meal;52.4027443;0
FRG;wheat (ung);12.3900003;0
CLZ;rapeseed(ung);24.4699993;0
FFS;full fat soya;39.9312744;0
PEE;maize wp;9.29;0
MPW;milk powder & whey;38.7973289;0
SFG;sun flower seed(gr);20.6235352;0
TTS;soya meal;54.4937401;0
CLZ;rapeseed(ung);19.2299995;0
CNG;corn gluten;68.3879166;0
EHH;grass silage;19.9299984;0
CNG;corn gluten;69.2708359;0
ANF;animal feed;51.0766144;0
EHH;grass silage;25.7480659;0
CLZ;rapeseed(ung);21.8999996;0
PEE;maize wp;6.0100002;0
ANF;animal feed;57.2147751;0
SFG;sun flower seed(gr);13.9191608;0
EHH;grass silage;25.1599998;0
FFS;full fat soya;39.7040825;0
MPW;milk powder & whey;14.2614937;0
MPW;milk powder & whey;37.8520584;0
EHH;grass silage;18.7599983;0
FFS;full fat soya;39.3456116;0
MPW;milk powder & whey;37.6967201;0
FRG;wheat (ung);14.6499996;0
PEE;maize wp;7.2999997;0
FFS;full fat soya;42.7641373;0
TTS;soya meal;53.6585388;0
FRG;wheat (ung);12.5;0
TTS;soya meal;52.1142845;0
FFS;full fat soya;40.2833061;0
EHH;grass silage;13.9200001;0
CLZ;rapeseed(ung);23.1200008;0
CLZ;rapeseed(ung);20.7900009;0
CNG;corn gluten;69.3182983;0
ANF;animal feed;57.0667381;0
SFG;sun flower seed(gr);21.9539928;0
CLZ;rapeseed(ung);21.8699989;0
MPW;milk powder & whey;28.0347824;0
FRG;wheat (ung);12.6999998;0
ANF;animal feed;53.9511757;0
EHH;grass silage;12.2299995;0
TTS;soya meal;52.7497215;0
FRG;wheat (ung);11.8000002;0
TTS;soya meal;55.8219185;0
ANF;animal feed;46.1647224;0
SFG;sun flower seed(gr);16.6188927;0
MPW;milk powder & whey;26.9680672;0
FFS;full fat soya;38.6959763;0
CLZ;rapeseed(ung);26.4500008;0
SFG;sun flower seed(gr);18.8859806;0
MPW;milk powder & whey;21.7259369;0
TTS;soya meal;51.1784515;0
FRG;wheat (ung);13.0500002;0
TTS;soya meal;52.5423737;0
CLZ;rapeseed(ung);23.5900002;0
PEE;maize wp;9.1899996;0
TTS;soya meal;51.1972656;0
MPW;milk powder & whey;10.7225914;0
SFG;sun flower seed(gr);17.2887745;0
SFG;sun flower seed(gr);12.7605162;0
CNG;corn gluten;67.0014114;0
TTS;soya meal;51.4124298;0
CLZ;rapeseed(ung);21.3999996;0
FFS;full fat soya;44.8944168;0
SFG;sun flower seed(gr);18.7903938;0
ANF;animal feed;55.1352196;0
TTS;soya meal;52.9885063;0
EHH;grass silage;9.1000004;0
SFG;sun flower seed(gr);20.2610741;0
CLZ;rapeseed(ung);25.1619053;0
CNG;corn gluten;70.1358871;0
MPW;milk powder & whey;11.4902277;0
EHH;grass silage;14.0799999;0
ANF;animal feed;54.0248337;0
CLZ;rapeseed(ung);20.2199993;0
EHH;grass silage;13.8299999;0
ANF;animal feed;59.0539474;0
TTS;soya meal;54.4819565;0
SFG;sun flower seed(gr);15.8788795;0
FRG;wheat (ung);12.0600004;0
CNG;corn gluten;65.2980423;0
MPW;milk powder & whey;12.3677378;0
SFG;sun flower seed(gr);20.2524204;0
EHH;grass silage;10.2799997;0
CNG;corn gluten;73.5702286;0
MPW;milk powder & whey;22.5673752;0
TTS;soya meal;53.6332207;0
ANF;animal feed;51.9790459;0
CNG;corn gluten;71.2131042;0
FRG;wheat (ung);11.4499998;0
CNG;corn gluten;67.3247833;0
TTS;soya meal;51.5185585;0
PEE;maize wp;7.3800001;0
ANF;animal feed;52.6698685;0
SFG;sun flower seed(gr);22.2173462;0
SFG;sun flower seed(gr);24.8890877;0
MPW;milk powder & whey;34.635685;0
EHH;grass silage;21.1599998;0
MPW;milk powder & whey;36.115921;0
CNG;corn gluten;64.0183029;0
TTS;soya meal;52.9076424;0
CLZ;rapeseed(ung);20.2600002;0
PEE;maize wp;7.5799999;0
MPW;milk powder & whey;11.3941593;0
CNG;corn gluten;66.5218658;0
CLZ;rapeseed(ung);17.8600006;0
CNG;corn gluten;71.8090057;0
FFS;full fat soya;40.8940964;0
PEE;maize wp;7.6700001;0
ANF;animal feed;53.6484375;0
FRG;wheat (ung);14.1657;0
SFG;sun flower seed(gr);10.671217;0
CNG;corn gluten;75.4802856;0
FRG;wheat (ung);10.8100004;0
ANF;animal feed;56.7233963;0
MPW;milk powder & whey;39.050293;0
ANF;animal feed;50.7003403;0
CLZ;rapeseed(ung);22.1800003;0
FRG;wheat (ung);12.2589998;0
SFG;sun flower seed(gr);20.7013321;0
FRG;wheat (ung);9.6000004;0
FFS;full fat soya;44.9372253;0
PEE;maize wp;6.9899998;0
MPW;milk powder & whey;25.8317184;0
FRG;wheat (ung);12.4700003;0
EHH;grass silage;12.6099997;0
ANF;animal feed;51.6579895;0
CNG;corn gluten;68.5433502;0
FRG;wheat (ung);12.7200003;0
PEE;maize wp;7.4599996;0
PEE;maize wp;8.1800003;0
EHH;grass silage;12.4799995;0
EHH;grass silage;28.0599995;0
FFS;full fat soya;37.605648;0
CNG;corn gluten;66.3894882;0
SFG;sun flower seed(gr);17.2090588;0
FRG;wheat (ung);11.1999998;0
PEE;maize wp;8.0599995;0
CLZ;rapeseed(ung);18.7999992;0
FRG;wheat (ung);12.3000002;0
SFG;sun flower seed(gr);21.9938583;0
CNG;corn gluten;70.7227097;0
ANF;animal feed;53.820015;0
ANF;animal feed;49.7067871;0
ANF;animal feed;53.7776108;0
TTS;soya meal;51.0783195;0
FRG;wheat (ung);14.8999996;0
CLZ;rapeseed(ung);26.8099995;0
TTS;soya meal;52.2573357;0
MPW;milk powder & whey;37.022377;0
EHH;grass silage;7.0900002;0
CLZ;rapeseed(ung);23.6000004;0
TTS;soya meal;55.3571434;0
TTS;soya meal;51.6055069;0
MPW;milk powder & whey;28.5435677;0
FFS;full fat soya;40.1957397;0
MPW;milk powder & whey;23.48699;0
EHH;grass silage;16.7800007;0
EHH;grass silage;7.54;0
CLZ;rapeseed(ung);24.0599995;0
FRG;wheat (ung);11.3500004;0
FFS;full fat soya;39.5636063;0
EHH;grass silage;10.46;0
TTS;soya meal;54.2565269;0
EHH;grass silage;16.0599995;0
TTS;soya meal;51.5873032;0
PEE;maize wp;6.9299998;0
ANF;animal feed;48.8561935;0
MPW;milk powder & whey;23.0674076;0
EHH;grass silage;18.0400009;0
CNG;corn gluten;63.0516701;0
FFS;full fat soya;41.6224136;0
CLZ;rapeseed(ung);21.5100002;0
ANF;animal feed;54.6994133;0
SFG;sun flower seed(gr);19.0571003;0
MPW;milk powder & whey;11.9947195;0
PEE;maize wp;7.0300002;0
TTS;soya meal;52.2336769;0
PEE;maize wp;7.7199998;0
FRG;wheat (ung);12.3000002;0
TTS;soya meal;51.6778526;0
FFS;full fat soya;41.3520355;0
TTS;soya meal;55.3386917;0
MPW;milk powder & whey;26.0846863;0
CNG;corn gluten;63.4356346;0
CLZ;rapeseed(ung);19.9400005;0
MPW;milk powder & whey;34.457058;0
EHH;grass silage;19.3999996;0
FFS;full fat soya;46.7218285;0
ANF;animal feed;51.8633461;0
SFG;sun flower seed(gr);20.0016441;0
CNG;corn gluten;67.4404526;0
CLZ;rapeseed(ung);23.5;0
EHH;grass silage;16.2000008;0
CNG;corn gluten;67.2582474;0
TTS;soya meal;51.2791977;0
TTS;soya meal;52.3489914;0
EHH;grass silage;12.6000004;0
MPW;milk powder & whey;23.302742;0
FFS;full fat soya;41.3753166;0
FRG;wheat (ung);11.4933004;0
CLZ;rapeseed(ung);16.4899998;0
MPW;milk powder & whey;26.8017769;0
EHH;grass silage;19.8999996;0
CNG;corn gluten;66.6182709;0
FRG;wheat (ung);11.8999996;0
CNG;corn gluten;60.2844086;0
MPW;milk powder & whey;20.5774345;0
FRG;wheat (ung);12.4399996;0
PEE;maize wp;5.9200001;0
ANF;animal feed;59.3130493;0
FFS;full fat soya;44.1043053;0
FFS;full fat soya;37.6627998;0
FRG;wheat (ung);11.0600004;0
ANF;animal feed;53.2252693;0
SFG;sun flower seed(gr);15.1309195;0
SFG;sun flower seed(gr);20.8755684;0
FRG;wheat (ung);11.8999996;0
PEE;maize wp;7.3699999;0
ANF;animal feed;54.231823;0
ANF;animal feed;54.2424164;0
TTS;soya meal;53.6332207;0
TTS;soya meal;52.0856857;0
FFS;full fat soya;39.178196;0
EHH;grass silage;17.4699993;0
CNG;corn gluten;72.7224197;0
FFS;full fat soya;38.8750496;0
MPW;milk powder & whey;37.3973808;0
EHH;grass silage;8.4099998;0
ANF;animal feed;54.3604355;0
SFG;sun flower seed(gr);15.8524151;0
MPW;milk powder & whey;19.9528217;0
PEE;maize wp;7.3200002;0
MPW;milk powder & whey;11.6719961;0
EHH;grass silage;11.6999998;0
PEE;maize wp;8.6599998;0
FFS;full fat soya;38.9328842;0
CLZ;rapeseed(ung);21.4699993;0
TTS;soya meal;54.3379021;0
SFG;sun flower seed(gr);22.7951813;0
EHH;grass silage;12.9799995;0
TTS;soya meal;55.7870369;0
CLZ;rapeseed(ung);18.738266;0
SFG;sun flower seed(gr);16.9188232;0
ANF;animal feed;50.7986298;0
CLZ;rapeseed(ung);24.6599998;0
CNG;corn gluten;65.7112427;0
TTS;soya meal;51.8306618;0
EHH;grass silage;13.2299995;0
CNG;corn gluten;69.7442322;0
MPW;milk powder & whey;37.5866814;0
FFS;full fat soya;40.2993011;0
FRG;wheat (ung);13.8228235;0
ANF;animal feed;51.1379395;0
SFG;sun flower seed(gr);17.5759315;0
MPW;milk powder & whey;21.8474445;0
EHH;grass silage;12.3000002;0
MPW;milk powder & whey;22.6543102;0
FFS;full fat soya;38.7661362;0
PEE;maize wp;6.27;0
FRG;wheat (ung);14.5100002;0
FRG;wheat (ung);9.8299999;0
ANF;animal feed;54.0290565;0
FFS;full fat soya;39.9360962;0
FFS;full fat soya;41.1333351;0
PEE;maize wp;7.9699998;0
PEE;maize wp;9.2599993;0
MPW;milk powder & whey;4.8928084;0
PEE;maize wp;6.2399998;0
ANF;animal feed;54.0325623;0
FFS;full fat soya;40.901123;0
PEE;maize wp;7.6199999;0
ANF;animal feed;55.2624435;0
CLZ;rapeseed(ung);19.8799992;0
CNG;corn gluten;70.2326813;0
FRG;wheat (ung);13.3999996;0
SFG;sun flower seed(gr);13.3211937;0
MPW;milk powder & whey;36.9362526;0
CLZ;rapeseed(ung);20.6800003;0
EHH;grass silage;24.4200001;0
TTS;soya meal;50.7972641;0
MPW;milk powder & whey;9.6429119;0
FRG;wheat (ung);12.4110003;0
CLZ;rapeseed(ung);21.4299984;0
CLZ;rapeseed(ung);17.3700008;0
ANF;animal feed;51.5280762;0
EHH;grass silage;20.8910046;0
CNG;corn gluten;69.2894974;0
CLZ;rapeseed(ung);24.2780991;0
MPW;milk powder & whey;5.7444458;0
EHH;grass silage;14.5;0
ANF;animal feed;55.5827026;0
ANF;animal feed;56.0865936;0
EHH;grass silage;11.2299995;0
CNG;corn gluten;69.1247482;0
SFG;sun flower seed(gr);16.9476891;0
ANF;animal feed;59.7251625;0
FRG;wheat (ung);12.4300003;0
ANF;animal feed;49.5985756;0
ANF;animal feed;53.0452995;0
FFS;full fat soya;42.3349724;0
FFS;full fat soya;42.7627678;0
FFS;full fat soya;39.9732475;0
CLZ;rapeseed(ung);23.5699997;0
ANF;animal feed;59.369381;0
EHH;grass silage;19.2000008;0
SFG;sun flower seed(gr);15.7868338;0
PEE;maize wp;7.3299999;0
TTS;soya meal;54.5766563;0
FFS;full fat soya;45.2962608;0
FRG;wheat (ung);10.0900002;0
FFS;full fat soya;39.2528229;0
MPW;milk powder & whey;11.7890024;0
SFG;sun flower seed(gr);13.0191832;0
FFS;full fat soya;45.0063057;0
FFS;full fat soya;38.9641762;0
MPW;milk powder & whey;12.842845;0
SFG;sun flower seed(gr);20.6193027;0
CLZ;rapeseed(ung);17.6000004;0
FRG;wheat (ung);11.8000002;0
PEE;maize wp;8.6199999;0
CNG;corn gluten;73.9421463;0
CNG;corn gluten;68.0156326;0
CLZ;rapeseed(ung);17.7999992;0
TTS;soya meal;52.8604126;0
TTS;soya meal;54.4715462;0
TTS;soya meal;55.375721;0
TTS;soya meal;53.020134;0
EHH;grass silage;13.5;0
FRG;wheat (ung);10.1066666;0
FFS;full fat soya;36.4511299;0
MPW;milk powder & whey;38.1780777;0
FFS;full fat soya;39.5411797;0
PEE;maize wp;7.6900001;0
MPW;milk powder & whey;34.9812241;0
TTS;soya meal;55.1724129;0
MPW;milk powder & whey;25.2232952;0
FFS;full fat soya;40.2899551;0
PEE;maize wp;8.5100002;0
CLZ;rapeseed(ung);22.7699986;0
CNG;corn gluten;70.1568375;0
PEE;maize wp;6.6399999;0
TTS;soya meal;53.5260124;0
TTS;soya meal;56.2929039;0
SFG;sun flower seed(gr);13.0936441;0
MPW;milk powder & whey;36.7770844;0
PEE;maize wp;7.3499999;0
CNG;corn gluten;69.5366669;0
CNG;corn gluten;62.2402725;0
CLZ;rapeseed(ung);20.3700008;0
SFG;sun flower seed(gr);13.6447735;0
ANF;animal feed;53.0482483;0
CLZ;rapeseed(ung);27.1476173;0
SFG;sun flower seed(gr);17.5922031;0
EHH;grass silage;20.502039;0
TTS;soya meal;53.7585411;0
ANF;animal feed;54.2306175;0
PEE;maize wp;7.0999999;0
PEE;maize wp;8.5;0
TTS;soya meal;49.5495491;0
FRG;wheat (ung);7.4099998;0
SFG;sun flower seed(gr);18.1731224;0
TTS;soya meal;52.7683601;0
EHH;grass silage;15.5699997;0
CLZ;rapeseed(ung);27.6100006;0
MPW;milk powder & whey;11.0207224;0
TTS;soya meal;52.2522507;0
TTS;soya meal;54.0945816;0
TTS;soya meal;49.043869;0
CLZ;rapeseed(ung);17.4099998;0
SFG;sun flower seed(gr);19.5909958;0
SFG;sun flower seed(gr);14.7249804;0
CNG;corn gluten;66.2292633;0
TTS;soya meal;54.3379021;0
PEE;maize wp;8.0699997;0
EHH;grass silage;14.0;0
CLZ;rapeseed(ung);23.0115032;0
MPW;milk powder & whey;37.9611359;0
SFG;sun flower seed(gr);21.0450039;0
CLZ;rapeseed(ung);17.7600002;0
CNG;corn gluten;71.4598083;0
ANF;animal feed;52.0559731;0
SFG;sun flower seed(gr);21.870409;0
CNG;corn gluten;74.943985;0
FFS;full fat soya;40.4298325;0
CLZ;rapeseed(ung);21.3262959;0
FFS;full fat soya;39.9484177;0
EHH;grass silage;11.5;0
EHH;grass silage;8.6999998;0
MPW;milk powder & whey;37.4412041;0
MPW;milk powder & whey;23.3149109;0
FRG;wheat (ung);9.7309999;0
TTS;soya meal;54.710556;0
FFS;full fat soya;39.7314262;0
CNG;corn gluten;68.6171036;0
FFS;full fat soya;39.4849091;0
FRG;wheat (ung);11.5;0
CNG;corn gluten;64.067482;0
ANF;animal feed;54.2031326;0
CLZ;rapeseed(ung);22.4457397;0
ANF;animal feed;53.1701393;0
CNG;corn gluten;71.9245605;0
CNG;corn gluten;68.551796;0
FFS;full fat soya;40.2532768;0
FRG;wheat (ung);11.8000002;0
EHH;grass silage;22.4599991;0
FRG;wheat (ung);10.9399996;0
CLZ;rapeseed(ung);21.5;0
ANF;animal feed;52.97826;0
